job_id,raw_job_title,company_name,salary_range,job_description_html,posted_date
JOB_0051,  Data Analyst ,Enterprise Solutions,$67k - $96k,<p>Looking for a Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with Tableau</li><li>Experience with SQL</li><li>Experience with GCP</li><li>Experience with Python</li><li>Experience with Power BI</li></ul> <br> <b>Must be willing to relocate.</b>,01/11/2026
JOB_0052,sr. data analyst,Enterprise Solutions,Up to $144k,<p>Looking for a sr. data analyst at Enterprise Solutions.</p> <ul><li>Experience with SQL</li><li>Experience with Python</li><li>Experience with AWS</li></ul>,03/14/2026
JOB_0053,Jr Data Analst ,TechCorp,Up to $125k,<p>Looking for a Jr Data Analst at TechCorp.</p> <ul><li>Experience with AWS</li><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with Tableau</li></ul>,02/28/2026
JOB_0054,  data analyst ,QuickHyre,Up to $117k,<p>Looking for a data analyst at QuickHyre.</p> <ul><li>Experience with Tableau</li><li>Experience with Power BI</li></ul>,01/21/2026
JOB_0055,jr data analst ,QuickHyre,,<p>Looking for a jr data analst at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Tableau</li></ul>,03/31/2026
JOB_0056,Sr. Data Analyst,QuickHyre,Up to $130k,<p>Looking for a Sr. Data Analyst at QuickHyre.</p> <ul><li>Experience with Power BI</li><li>Experience with SQL</li><li>Experience with Python</li><li>Experience with GCP</li><li>Experience with Excel</li></ul>,04/01/2026
JOB_0057,Sr. Data Analyst,TechCorp,,<p>Looking for a Sr. Data Analyst at TechCorp.</p> <ul><li>Experience with Python</li><li>Experience with Machine Learning</li><li>Experience with Excel</li></ul> <br> <b>Must be willing to relocate.</b>,02/28/2026
JOB_0058,Lead Analytics,QuickHyre,,<p>Looking for a Lead Analytics at QuickHyre.</p> <ul><li>Experience with Python</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,
JOB_0059,Jr Data Analst ,DataInc,Up to $109k,<p>Looking for a Jr Data Analst at DataInc.</p> <ul><li>Experience with Excel</li><li>Experience with Machine Learning</li></ul>,04/01/2026
JOB_0060,data scientist,StartupX,$80k - $104k,<p>Looking for a data scientist at StartupX.</p> <ul><li>Experience with Power BI</li><li>Experience with Tableau</li></ul>,02/22/2026
JOB_0061,lead analytics,TechCorp,62875-97485,<p>Looking for a lead analytics at TechCorp.</p> <ul><li>Experience with Tableau</li><li>Experience with SQL</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with Python</li></ul>,03/31/2026
JOB_0062,lead analytics,QuickHyre,$74k - $107k,<p>Looking for a lead analytics at QuickHyre.</p> <ul><li>Experience with AWS</li><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,03/08/2026
JOB_0063,Sr. Data Analyst,Enterprise Solutions,80273-109181,<p>Looking for a Sr. Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with AWS</li><li>Experience with Power BI</li><li>Experience with GCP</li><li>Experience with Tableau</li><li>Experience with Machine Learning</li></ul>,
JOB_0064,data scientist,DataInc,Up to $142k,<p>Looking for a data scientist at DataInc.</p> <ul><li>Experience with GCP</li><li>Experience with Power BI</li><li>Experience with Excel</li></ul>,
JOB_0065,sr. data analyst,DataInc,$82k - $116k,<p>Looking for a sr. data analyst at DataInc.</p> <ul><li>Experience with AWS</li><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with Power BI</li></ul>,03/26/2026
JOB_0066,Lead Analytics,StartupX,63894-109231,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with GCP</li><li>Experience with SQL</li><li>Experience with AWS</li><li>Experience with Excel</li></ul>,03/03/2026
JOB_0067,Sr. Data Analyst,QuickHyre,$78k - $101k,<p>Looking for a Sr. Data Analyst at QuickHyre.</p> <ul><li>Experience with SQL</li><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with Python</li></ul>,04/01/2026
JOB_0068,Lead Analytics,DataInc,81801-108793,<p>Looking for a Lead Analytics at DataInc.</p> <ul><li>Experience with GCP</li><li>Experience with AWS</li><li>Experience with Power BI</li><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,01/05/2026
JOB_0069,Lead Analytics,QuickHyre,,<p>Looking for a Lead Analytics at QuickHyre.</p> <ul><li>Experience with Tableau</li><li>Experience with SQL</li></ul>,03/17/2026
JOB_0070,Sr. Data Analyst,StartupX,84681-114069,<p>Looking for a Sr. Data Analyst at StartupX.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Python</li><li>Experience with Excel</li></ul>,
JOB_0071,Sr. Data Analyst,Enterprise Solutions,80461-106928,<p>Looking for a Sr. Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,02/09/2026
JOB_0072,Jr Data Analst ,QuickHyre,,<p>Looking for a Jr Data Analst at QuickHyre.</p> <ul><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,02/16/2026
JOB_0073,  Data Analyst ,DataInc,Up to $149k,<p>Looking for a Data Analyst at DataInc.</p> <ul><li>Experience with GCP</li><li>Experience with Machine Learning</li><li>Experience with Excel</li><li>Experience with SQL</li></ul>,03/11/2026
JOB_0074,data scientist,DataInc,$83k - $95k,<p>Looking for a data scientist at DataInc.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Python</li><li>Experience with GCP</li><li>Experience with AWS</li></ul>,01/03/2026
JOB_0075,Jr Data Analst ,Enterprise Solutions,67824-127821,<p>Looking for a Jr Data Analst at Enterprise Solutions.</p> <ul><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with Python</li></ul> <br> <b>Must be willing to relocate.</b>,03/29/2026
JOB_0076,data analyst - sql,TechCorp,Up to $144k,<p>Looking for a data analyst - sql at TechCorp.</p> <ul><li>Experience with Power BI</li><li>Experience with SQL</li><li>Experience with Tableau</li><li>Experience with Python</li><li>Experience with AWS</li></ul>,04/05/2026
JOB_0077,Jr Data Analst ,StartupX,,<p>Looking for a Jr Data Analst at StartupX.</p> <ul><li>Experience with AWS</li><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Machine Learning</li></ul>,01/16/2026
JOB_0078,  Data Analyst ,TechCorp,Up to $134k,<p>Looking for a Data Analyst at TechCorp.</p> <ul><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with Python</li><li>Experience with SQL</li><li>Experience with Excel</li></ul>,01/01/2026
JOB_0079,data scientist,QuickHyre,,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with Excel</li><li>Experience with Tableau</li></ul>,01/26/2026
JOB_0080,Jr Data Analst ,TechCorp,85167-115462,<p>Looking for a Jr Data Analst at TechCorp.</p> <ul><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with AWS</li><li>Experience with Tableau</li><li>Experience with Python</li></ul>,02/07/2026
JOB_0081,  data analyst ,QuickHyre,,<p>Looking for a data analyst at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Excel</li><li>Experience with AWS</li></ul>,02/11/2026
JOB_0082,jr data analst ,StartupX,,<p>Looking for a jr data analst at StartupX.</p> <ul><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,01/01/2026
JOB_0083,data scientist,QuickHyre,$77k - $117k,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with Python</li><li>Experience with Tableau</li><li>Experience with GCP</li><li>Experience with SQL</li></ul>,01/29/2026
JOB_0084,DATA ANALYST - SQL,TechCorp,Up to $149k,<p>Looking for a DATA ANALYST - SQL at TechCorp.</p> <ul><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with Power BI</li><li>Experience with AWS</li></ul>,
JOB_0085,DATA ANALYST - SQL,Enterprise Solutions,$83k - $118k,<p>Looking for a DATA ANALYST - SQL at Enterprise Solutions.</p> <ul><li>Experience with Excel</li><li>Experience with Python</li></ul>,04/04/2026
JOB_0086,  Data Analyst ,QuickHyre,Up to $149k,<p>Looking for a Data Analyst at QuickHyre.</p> <ul><li>Experience with Power BI</li><li>Experience with Tableau</li><li>Experience with Excel</li></ul>,02/13/2026
JOB_0087,lead analytics,Enterprise Solutions,Up to $129k,<p>Looking for a lead analytics at Enterprise Solutions.</p> <ul><li>Experience with Power BI</li><li>Experience with GCP</li></ul>,03/21/2026
JOB_0088,data scientist,TechCorp,Up to $141k,<p>Looking for a data scientist at TechCorp.</p> <ul><li>Experience with GCP</li><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with Python</li><li>Experience with Machine Learning</li></ul>,
JOB_0089,Lead Analytics,StartupX,Up to $102k,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with AWS</li><li>Experience with Tableau</li><li>Experience with Power BI</li><li>Experience with SQL</li></ul>,03/29/2026
JOB_0090,Lead Analytics,Enterprise Solutions,$76k - $98k,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with Power BI</li><li>Experience with Tableau</li><li>Experience with Python</li></ul>,04/10/2026
JOB_0091,Lead Analytics,Enterprise Solutions,$60k - $111k,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with Python</li><li>Experience with SQL</li><li>Experience with GCP</li></ul> <br> <b>Must be willing to relocate.</b>,01/23/2026
JOB_0092,  Data Analyst ,TechCorp,68599-110653,<p>Looking for a Data Analyst at TechCorp.</p> <ul><li>Experience with Tableau</li><li>Experience with Power BI</li><li>Experience with AWS</li></ul>,01/08/2026
JOB_0093,Jr Data Analst ,StartupX,$83k - $126k,<p>Looking for a Jr Data Analst at StartupX.</p> <ul><li>Experience with SQL</li><li>Experience with Python</li><li>Experience with GCP</li></ul>,
JOB_0094,  data analyst ,QuickHyre,,<p>Looking for a data analyst at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Tableau</li><li>Experience with Power BI</li></ul> <br> <b>Must be willing to relocate.</b>,01/19/2026
JOB_0095,Sr. Data Analyst,QuickHyre,76347-107436,<p>Looking for a Sr. Data Analyst at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with SQL</li><li>Experience with Excel</li><li>Experience with Tableau</li></ul>,01/15/2026
JOB_0096,  data analyst ,TechCorp,Up to $105k,<p>Looking for a data analyst at TechCorp.</p> <ul><li>Experience with AWS</li><li>Experience with GCP</li><li>Experience with Power BI</li></ul>,01/03/2026
JOB_0097,  Data Analyst ,TechCorp,Up to $139k,<p>Looking for a Data Analyst at TechCorp.</p> <ul><li>Experience with SQL</li><li>Experience with Tableau</li></ul>,01/21/2026
JOB_0098,  Data Analyst ,QuickHyre,Up to $130k,<p>Looking for a Data Analyst at QuickHyre.</p> <ul><li>Experience with Tableau</li><li>Experience with Excel</li><li>Experience with AWS</li><li>Experience with SQL</li></ul>,
JOB_0099,DATA ANALYST - SQL,QuickHyre,Up to $147k,<p>Looking for a DATA ANALYST - SQL at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,
JOB_0100,data scientist,StartupX,79476-115443,<p>Looking for a data scientist at StartupX.</p> <ul><li>Experience with Excel</li><li>Experience with Power BI</li><li>Experience with Machine Learning</li><li>Experience with GCP</li></ul>,03/11/2026
JOB_0101,Lead Analytics,TechCorp,$64k - $119k,<p>Looking for a Lead Analytics at TechCorp.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Excel</li></ul>,02/13/2026
JOB_0102,sr. data analyst,DataInc,84660-99346,<p>Looking for a sr. data analyst at DataInc.</p> <ul><li>Experience with Tableau</li><li>Experience with Machine Learning</li></ul>,
JOB_0103,data analyst - sql,TechCorp,,<p>Looking for a data analyst - sql at TechCorp.</p> <ul><li>Experience with GCP</li><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with SQL</li><li>Experience with Python</li></ul>,01/25/2026
JOB_0104,  Data Analyst ,Enterprise Solutions,,<p>Looking for a Data Analyst at Enterprise Solutions.</p> <ul><li>Experience with SQL</li><li>Experience with Tableau</li><li>Experience with Python</li><li>Experience with GCP</li><li>Experience with AWS</li></ul>,02/27/2026
JOB_0105,Lead Analytics,Enterprise Solutions,,<p>Looking for a Lead Analytics at Enterprise Solutions.</p> <ul><li>Experience with SQL</li><li>Experience with Python</li><li>Experience with AWS</li><li>Experience with Excel</li><li>Experience with Machine Learning</li></ul>,01/24/2026
JOB_0106,Lead Analytics,TechCorp,$74k - $129k,<p>Looking for a Lead Analytics at TechCorp.</p> <ul><li>Experience with Python</li><li>Experience with Power BI</li><li>Experience with Tableau</li><li>Experience with Excel</li><li>Experience with GCP</li></ul> <br> <b>Must be willing to relocate.</b>,
JOB_0107,Lead Analytics,StartupX,$61k - $129k,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with Excel</li><li>Experience with Machine Learning</li><li>Experience with Power BI</li><li>Experience with AWS</li><li>Experience with Python</li></ul>,
JOB_0108,Jr Data Analst ,StartupX,74585-120622,<p>Looking for a Jr Data Analst at StartupX.</p> <ul><li>Experience with Power BI</li><li>Experience with SQL</li></ul>,
JOB_0109,  Data Analyst ,TechCorp,78425-112405,<p>Looking for a Data Analyst at TechCorp.</p> <ul><li>Experience with GCP</li><li>Experience with Machine Learning</li><li>Experience with Excel</li></ul>,02/12/2026
JOB_0110,data scientist,QuickHyre,Up to $122k,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with GCP</li><li>Experience with SQL</li></ul>,03/18/2026
JOB_0111,  data analyst ,TechCorp,$70k - $122k,<p>Looking for a data analyst at TechCorp.</p> <ul><li>Experience with SQL</li><li>Experience with Excel</li><li>Experience with Tableau</li><li>Experience with GCP</li><li>Experience with AWS</li></ul>,01/17/2026
JOB_0112,Jr Data Analst ,QuickHyre,$60k - $120k,<p>Looking for a Jr Data Analst at QuickHyre.</p> <ul><li>Experience with Excel</li><li>Experience with Power BI</li></ul>,03/24/2026
JOB_0113,DATA ANALYST - SQL,StartupX,,<p>Looking for a DATA ANALYST - SQL at StartupX.</p> <ul><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,02/20/2026
JOB_0114,lead analytics,QuickHyre,Up to $106k,<p>Looking for a lead analytics at QuickHyre.</p> <ul><li>Experience with Power BI</li><li>Experience with GCP</li></ul>,03/03/2026
JOB_0115,data scientist,QuickHyre,Up to $121k,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with GCP</li><li>Experience with Python</li><li>Experience with Machine Learning</li></ul>,03/25/2026
JOB_0116,data scientist,QuickHyre,Up to $103k,<p>Looking for a data scientist at QuickHyre.</p> <ul><li>Experience with Machine Learning</li><li>Experience with Python</li><li>Experience with Tableau</li><li>Experience with Power BI</li></ul>,03/01/2026
JOB_0117,Sr. Data Analyst,DataInc,70206-101039,<p>Looking for a Sr. Data Analyst at DataInc.</p> <ul><li>Experience with Tableau</li><li>Experience with Excel</li></ul>,01/02/2026
JOB_0118,Sr. Data Analyst,TechCorp,,<p>Looking for a Sr. Data Analyst at TechCorp.</p> <ul><li>Experience with Machine Learning</li><li>Experience with SQL</li></ul>,03/14/2026
JOB_0119,Lead Analytics,StartupX,79113-96360,<p>Looking for a Lead Analytics at StartupX.</p> <ul><li>Experience with GCP</li><li>Experience with SQL</li><li>Experience with Machine Learning</li></ul>,03/26/2026
JOB_0120,data scientist,TechCorp,64065-100667,<p>Looking for a data scientist at TechCorp.</p> <ul><li>Experience with Excel</li><li>Experience with AWS</li></ul>,02/22/2026
JOB_0121,Sr. Data Analyst,QuickHyre,Up to $118k,<p>Looking for a Sr. Data Analyst at QuickHyre.</p> <ul><li>Experience with Python</li><li>Experience with Tableau</li><li>Experience with Machine Learning</li><li>Experience with Excel</li></ul>,02/13/2026
JOB_0122,Jr Data Analst ,DataInc,$63k - $125k,<p>Looking for a Jr Data Analst at DataInc.</p> <ul><li>Experience with Python</li><li>Experience with Tableau</li><li>Experience with AWS</li><li>Experience with Power BI</li></ul>,01/08/2026
